"","Sex","Hghst_Grde_Moth","Hghst_Grde_Fath","GPA","CogAbilityRank","Total_Enrlmnt","Num_Bks_Lib","Pct_Disadv","Pct_Attnd","Pct_Dropout","Pct_Stdnt_Female","Pct_Fac_Female","Num_FT_Couns","Num_FT_Fac","Pct_FT_Fac_GrdDeg","Headstart","ClassRankPercentile","Marital_Status","Num_Kids_HH","Self_Inc_2009","Hghst_Deg_Obt"
"2","1",12,12,2.6551724137931,36,1068,14000,4,93,6,51,48,5,68,50,"0",36.8243243243243,"1",4,0,"3"
"6","0",12,18,2.72413793103448,75,1634,20000,10,96,2,52,43,5,112,46,"0",92.2705314009662,"1",0,312324,"3"
"7","0",12,12,2.6551724137931,78,1634,20000,10,96,2,52,43,5,112,46,"0",62.6943005181347,"1",0,40000,"3"
"20","0",10,9,2.17241379310345,21,1351,13000,22,90,6,51,39,5,97,81,"0",36.2857142857143,"1",3,0,"1"
"27","0",12,16,2.8125,50,1230,12000,5,7,10,50,50,6,84,80,"0",47.2826086956522,"1",3,0,"2"
"29","1",12,12,2.54166666666667,70,1761,29000,0,92,0,49,47,7,101,90,"0",42.4096385542169,"1",2,140000,"3"
"32","1",17,16,3.03333333333333,36,1761,29000,0,92,0,49,47,7,101,90,"0",59.5959595959596,"1",0,146000,"4"
"53","1",12,9,3.30769230769231,91,706,5000,24,85,2,52,51,4,60,90,"0",75.5760368663594,"1",1,110000,"3"
"54","1",11,9,2.59375,79,706,5000,24,85,2,52,51,4,60,90,"0",75.2941176470588,"1",0,51000,"3"
"67","0",13,16,3.31034482758621,87,1874,13000,3,94,4,53,46,5,100,65,"0",88.0916030534351,"1",2,312324,"3"
"68","0",14,16,3.68965517241379,81,1874,13000,3,94,4,53,46,5,100,65,"0",92.5,"1",3,3500,"3"
"71","0",12,16,3.34615384615385,77,1874,13000,3,94,4,53,46,5,100,65,"0",81.1666666666667,"0",0,56500,"3"
"78","0",12,12,3.19354838709677,88,1874,13000,3,94,4,53,46,5,100,65,"0",85.6488549618321,"1",0,104000,"1"
"115","0",14,12,3,76.75,1027,15000,10,95,10,50,40,3,62,70,"0",85.59670781893,"1",3,33000,"2"
"121","0",10,8,2.6551724137931,48.5,2117,13500,9,95,14,50,40,6,112,90,"0",75.7078986587183,"1",3,6000,"1"
"125","1",12,18,2.6,83,1200,19336,18,95,5,50,33,5,61,80,"0",80.3418803418803,"1",1,63000,"2"
"126","1",12,8,2.6,55,1200,19336,18,95,5,50,33,5,61,80,"0",69.4852941176471,"1",2,95000,"2"
"158","1",12,12,1.68,20,1403,17000,15,94,1,50,34,5,101,95,"0",10.25,"1",0,20000,"1"
"171","0",12,16,2.18518518518519,55,1347,12000,10,90,5,51,37,4,80,59,"0",24.7113163972286,"1",0,0,"1"
"177","0",16,16,3.34615384615385,85,2114,32000,9,85,8,48,46,9,132,59,"0",89.8076923076923,"1",0,0,"4"
"188","0",12,14,2.71428571428571,30,340,5055,12,90,2,100,92,1,25,40,"1",65.1162790697674,"0",2,72000,"2"
"207","0",13,12,2.26923076923077,82,1742,10900,1,94,4,51,56,5,75,58,"0",42.654028436019,"1",1,12740,"1"
"229","0",12,12,3.18181818181818,43,1212,20030,3,96,5,49,35,3,60,50,"0",66.016713091922,"1",0,6068,"1"
"240","1",12,12,1.69565217391304,70,1105,14500,3,92,8,48,34,4,52,65,"0",14.3258426966292,"1",2,94000,"3"
"250","0",12,12,3.28571428571429,90.5,1887,24697,4,92,4,44,37,6,71,86,"0",81.7288801571709,"0",0,47800,"4"
"256","0",12,14,2.85185185185185,7,1468,13000,8,94,10,52,47,4,56,80,"0",58.8372093023256,"0",1,46000,"3"
"286","1",12,16,2.56666666666667,79,1069,14500,2,94,3,50,37,4,65,75,"0",51.6528925619835,"1",2,118000,"4"
"299","1",14,16,2.625,24,3250,27819,6,90,9,49,37,8,169,83,"0",54.1436464088398,"1",0,40000,"4"
"326","0",10,11,2.5,64,1700,19000,2,92,6,52,55,4,85,70,"0",56.25,"1",1,51400,"1"
"335","0",12,14,3.40740740740741,60,2470,18500,12,94,12,49,54,6,146,75,"0",69.3528693528693,"1",0,0,"3"
"337","0",16,18,3.51515151515152,50,2470,18500,12,94,12,49,54,6,146,75,"0",87.4309392265193,"1",2,0,"5"
"343","1",12,10,3.17241379310345,24,2470,18500,12,94,12,49,54,6,146,75,"0",80.6629834254144,"1",1,84000,"2"
"346","0",12,15,3.26923076923077,62,2250,18000,3,89,10,49,46,8,120,75,"0",83.1325301204819,"1",0,0,"3"
"347","1",18,13,3.25,63,2058,26000,4,92,6,47,46,4,114,79,"0",87.9818594104308,"1",4,23000,"3"
"351","1",9,12,1.72413793103448,1,2058,26000,4,92,6,47,46,4,114,79,"0",22.4438902743142,"1",1,14000,"1"
"360","1",10,14,3.45833333333333,31,416,8500,8,91,12,50,50,1,19,50,"0",76.6355140186916,"0",0,40000,"1"
"393","1",14,12,2.85185185185185,60,2686,25000,2,94,6,51,45,7,123,55,"0",58.2417582417582,"0",0,0,"1"
"394","0",12,10,1.65625,1,2686,25000,2,94,6,51,45,7,123,55,"0",5.66929133858268,"1",0,37000,"1"
"402","1",8,12,1.76,25,1153,8600,5,91,14,51,41,4,58,70,"1",13.8392857142857,"1",2,69000,"1"
