"R0000100","T3115800"
1,-5
2,2
3,-5
4,-5
5,-5
6,3
7,0
8,0
9,2
10,-5
11,-5
12,-5
13,-5
14,0
15,4
16,3
17,0
18,1
19,0
20,-5
21,0
22,0
23,-5
24,-5
25,2
26,3
27,2
28,0
29,0
30,3
31,1
32,0
33,0
34,0
35,-5
36,0
37,1
38,0
39,1
40,2
41,2
42,3
43,3
44,0
45,-5
46,-5
47,0
48,-5
49,1
50,2
51,-5
52,-5
53,0
54,0
55,-5
56,-5
57,2
58,1
59,0
60,-5
61,3
62,3
63,2
64,-5
65,-5
66,0
67,2
68,3
69,0
70,0
71,3
72,0
73,2
74,-5
75,2
76,3
77,0
78,-5
79,-5
80,0
81,-5
82,-5
83,0
84,0
85,0
86,0
87,0
88,1
89,-5
90,1
91,2
92,1
93,0
94,0
95,3
96,2
97,0
98,3
99,2
100,3
101,0
102,1
103,0
104,-5
105,0
106,1
107,0
108,3
109,-5
110,2
111,1
112,1
113,-5
114,-5
115,-5
116,-5
117,2
118,-5
119,0
120,0
121,1
122,0
123,-5
124,0
125,-5
126,3
127,-5
128,0
129,0
130,-5
131,-5
132,-5
133,-5
134,2
135,1
136,0
137,2
138,3
139,0
140,2
141,0
142,0
143,4
144,3
145,0
146,0
147,2
148,0
149,2
150,0
151,-5
152,0
153,0
154,-5
155,0
156,0
157,1
158,-5
159,-5
160,1
161,2
162,-5
163,-5
164,-5
165,3
166,-5
167,-5
168,0
169,0
170,-5
171,2
172,1
173,-5
174,1
175,0
176,-5
177,0
178,0
179,1
180,-5
181,2
182,0
183,2
184,1
185,0
186,1
187,-5
188,0
189,0
190,1
191,2
192,3
193,1
194,-5
195,3
196,-5
197,-5
198,2
199,0
200,2
201,2
202,0
203,-5
204,0
205,2
206,-5
207,0
208,-5
209,-5
210,2
211,4
212,2
213,-5
214,0
215,-5
216,0
217,-5
218,1
219,0
220,0
221,4
222,0
223,3
224,0
225,-5
226,-5
227,1
228,2
229,1
230,0
231,2
232,0
233,1
234,0
235,2
236,1
237,0
238,-5
239,0
240,0
241,-5
242,0
243,0
244,1
245,3
246,-5
247,2
248,0
249,2
250,1
251,0
252,2
253,0
254,1
255,3
256,1
257,0
258,0
259,0
260,1
261,2
262,-5
263,-5
264,-5
265,4
266,-5
267,0
268,0
269,4
270,-5
271,-5
272,2
273,2
274,3
275,2
276,-5
277,0
278,4
279,0
280,-5
281,3
282,2
283,0
284,0
285,2
286,0
287,1
288,4
289,1
290,0
291,0
292,2
293,1
294,2
295,-5
296,3
297,1
298,-5
299,0
300,-5
301,2
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,-5
310,2
311,0
312,0
313,3
314,-5
315,-5
316,2
317,2
318,-5
319,0
320,2
321,-5
322,3
323,0
324,1
325,-5
326,-5
327,-5
328,-5
329,-5
330,-5
331,-5
332,0
333,1
334,-5
335,1
336,0
337,0
338,0
339,1
340,1
341,-5
342,2
343,0
344,2
345,-5
346,2
347,-5
348,0
349,-5
350,2
351,0
352,0
353,-5
354,2
355,3
356,0
357,3
358,2
359,-5
360,0
361,-5
362,0
363,0
364,1
365,5
366,-5
367,0
368,0
369,1
370,2
371,-5
372,2
373,1
374,-5
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,-5
384,-5
385,3
386,0
387,0
388,2
389,-5
390,-5
391,2
392,1
393,1
394,0
395,2
396,0
397,0
