"R0000100","R0173600","R0214700","R0214800","R6479300","R6486300","R6486400","R9909800"
1,5,3,2,-5,-5,-5,-998
2,5,3,2,1,2,2,1
3,5,3,2,1,3,3,1
4,5,3,2,1,2,2,1
5,1,3,1,-5,-5,-5,1
6,1,3,1,-5,-5,-5,1
7,1,3,1,3,2,2,-999
8,6,3,2,3,3,2,1
9,1,3,1,1,2,2,1
10,6,3,2,-5,-5,-5,1
11,1,3,1,0,0,0,-998
12,5,3,2,-5,-5,-5,1
13,1,3,1,1,4,4,1
14,5,3,2,2,0,0,-998
15,1,3,1,1,1,1,1
16,5,3,2,1,3,3,1
17,1,3,1,0,0,0,-998
18,1,3,1,1,4,3,1
19,5,3,2,2,1,1,1
20,5,3,2,1,1,1,1
21,5,3,2,1,0,0,-998
22,5,3,2,1,0,0,-998
23,1,3,1,-5,-5,-5,-998
24,1,3,1,3,2,0,1
25,5,3,2,1,2,2,1
26,1,3,1,-5,-5,-5,1
27,5,3,2,1,2,2,1
28,5,3,2,3,0,0,-998
29,5,3,2,1,0,0,-998
30,5,3,2,1,3,3,1
31,4,1,1,2,2,2,1
32,8,1,2,-5,-5,-5,-998
33,4,1,1,-5,-5,-5,-998
34,1,3,1,1,3,2,1
35,5,3,2,1,2,2,1
36,1,3,1,1,0,1,-998
37,5,3,2,1,1,1,1
38,5,3,2,1,0,0,-998
39,1,3,1,1,1,1,1
40,2,3,1,3,0,0,1
41,2,3,1,-5,-5,-5,1
42,1,3,1,1,2,3,1
43,6,3,2,1,3,3,0
44,5,3,2,1,2,2,1
45,1,3,1,-5,-5,-5,1
46,5,3,2,1,2,1,1
47,1,3,1,0,0,0,-998
48,2,3,1,-5,-5,-5,0
49,5,3,2,1,2,2,1
50,5,3,2,1,5,3,0
51,1,3,1,-5,-5,-5,-997
52,1,3,1,-5,-5,-5,1
53,4,1,1,0,0,0,-998
54,1,3,1,1,1,1,0
55,1,3,1,-5,-5,-5,-998
56,5,3,2,-5,-5,-5,-998
57,5,3,2,1,3,2,1
58,5,3,2,1,3,3,1
59,1,3,1,1,0,0,-998
60,1,3,1,1,2,3,0
61,5,3,2,1,2,2,1
62,5,3,2,1,1,0,1
63,1,3,1,1,1,2,1
64,1,3,1,-5,-5,-5,-998
65,5,3,2,-5,-5,-5,-998
66,1,3,1,2,2,0,1
67,1,3,1,-5,-5,-5,1
68,5,3,2,1,3,3,1
69,1,3,1,1,2,2,1
70,1,3,1,1,0,0,1
71,1,3,1,1,1,1,1
72,5,3,2,0,0,0,-998
73,1,3,1,-5,-5,-5,1
74,5,3,2,-5,-5,-5,-998
75,5,3,2,1,2,2,1
76,1,3,1,0,1,1,-999
77,5,3,2,0,0,0,-998
78,5,3,2,1,3,3,1
79,1,3,1,1,3,3,1
80,1,3,1,0,0,0,-998
81,1,3,1,0,0,0,1
82,3,2,1,0,3,0,-997
83,3,2,1,0,0,0,-998
84,3,2,1,0,1,0,0
85,3,2,1,0,1,0,-997
86,7,2,2,0,1,1,-997
87,3,2,1,0,2,1,-997
88,3,2,1,1,2,1,-999
89,7,2,2,1,1,1,0
90,1,3,1,1,1,1,1
91,5,3,2,1,2,2,1
92,5,3,2,1,2,2,0
93,1,3,1,1,2,0,1
94,1,3,1,-5,-5,-5,-998
95,5,3,2,1,3,3,1
96,6,3,2,0,3,3,0
97,5,3,2,1,2,2,1
98,6,3,2,1,3,3,1
99,5,3,2,1,2,2,1
100,5,3,2,3,3,2,0
101,1,3,1,1,2,2,1
102,5,3,2,1,1,1,1
103,1,3,1,1,2,2,1
104,5,3,2,0,0,0,-998
105,6,3,2,3,0,0,-998
106,1,3,1,1,0,0,-998
107,1,3,1,1,0,0,-998
108,1,3,1,1,2,2,1
109,5,3,2,-5,-5,-5,-998
110,1,3,1,1,2,2,1
111,5,3,2,1,3,3,1
112,5,3,2,1,2,2,1
113,1,3,1,-5,-5,-5,-998
114,1,3,1,-5,-5,-5,1
115,5,3,2,-5,-5,-5,1
116,5,3,2,-5,-5,-5,-998
117,1,3,1,1,3,3,1
118,5,3,2,1,2,1,1
119,1,3,1,0,0,0,-998
120,1,3,1,0,0,0,-998
121,5,3,2,0,1,1,-997
122,1,3,1,1,3,3,1
123,1,3,1,-5,-5,-5,1
124,5,3,2,1,2,2,1
125,1,3,1,0,0,0,-998
126,1,3,1,3,2,2,1
127,1,3,1,-5,-5,-5,-998
128,5,3,2,1,2,2,1
129,1,3,1,0,0,0,-998
130,6,3,2,-5,-5,-5,-998
131,6,3,2,-5,-5,-5,-998
132,6,3,2,-5,-5,-5,-998
133,5,3,2,1,1,1,1
134,1,3,1,1,3,2,1
135,1,3,1,1,1,1,1
136,5,3,2,0,0,0,-998
137,5,3,2,1,2,2,1
138,5,3,2,1,3,3,1
139,1,3,1,3,1,1,1
140,5,3,2,1,1,1,1
141,5,3,2,0,0,0,-998
142,1,3,1,1,0,0,-998
143,5,3,2,1,4,4,1
144,5,3,2,1,3,3,1
145,1,3,1,0,0,0,-998
146,1,3,1,1,2,1,1
147,5,3,2,1,2,2,1
148,1,3,1,0,0,0,-998
149,5,3,2,1,2,2,1
150,1,3,1,0,0,0,-998
151,5,3,2,-5,-5,-5,-998
152,5,3,2,1,0,0,-998
153,5,3,2,1,2,2,-999
154,5,3,2,-5,-5,-5,-998
155,1,3,1,3,2,0,1
156,1,3,1,-5,-5,-5,0
157,5,3,2,1,2,2,1
158,5,3,2,1,2,2,1
159,5,3,2,1,5,5,1
160,5,3,2,1,1,1,1
161,5,3,2,1,2,2,1
162,1,3,1,1,4,4,1
163,1,3,1,-5,-5,-5,-998
164,5,3,2,-5,-5,-5,-998
165,5,3,2,1,3,3,1
166,1,3,1,1,1,1,1
167,5,3,2,3,2,2,0
168,3,2,1,-5,-5,-5,1
169,7,2,2,-5,-5,-5,-998
170,5,3,2,0,0,0,-998
171,1,3,1,1,2,2,1
172,6,3,2,3,1,1,1
173,1,3,1,-5,-5,-5,-998
174,8,1,2,1,2,2,1
175,5,3,2,-5,-5,-5,1
176,5,3,2,-5,-5,-5,-998
177,1,3,1,2,0,0,-998
178,1,3,1,1,0,0,-998
179,5,3,2,1,2,2,1
180,5,3,2,1,3,3,1
181,1,3,1,1,2,2,1
182,1,3,1,-5,-5,-5,-998
183,5,3,2,1,3,3,1
184,5,3,2,1,0,0,1
185,1,3,1,0,1,0,-997
186,5,3,2,1,1,1,1
187,1,3,1,-5,-5,-5,-998
188,5,3,2,1,1,1,1
189,1,3,1,0,0,0,-998
190,5,3,2,2,1,1,-999
191,1,3,1,1,2,2,1
192,5,3,2,1,2,2,1
193,1,3,1,1,1,1,1
194,1,3,1,1,2,2,1
195,1,3,1,1,2,2,1
196,1,3,1,1,3,3,1
197,5,3,2,1,2,2,1
198,1,3,1,1,0,0,1
199,1,3,1,1,0,0,-998
200,5,3,2,3,2,2,1
201,1,3,1,1,2,2,1
202,1,3,1,0,0,0,-998
203,8,1,2,-5,-5,-5,1
204,8,1,2,3,2,1,1
205,8,1,2,1,3,3,1
206,1,3,1,-5,-5,-5,1
207,1,3,1,1,2,2,1
208,6,3,2,1,1,1,0
209,1,3,1,0,0,0,-998
210,1,3,1,-5,-5,-5,1
211,5,3,2,1,2,2,1
212,1,3,1,1,2,2,1
213,1,3,1,0,0,0,-998
214,1,3,1,1,0,0,-998
215,1,3,1,-5,-5,-5,1
216,5,3,2,-5,-5,-5,-998
217,1,3,1,-5,-5,-5,-998
218,1,3,1,1,2,2,1
219,5,3,2,0,0,0,-998
220,5,3,2,0,0,0,-998
221,7,2,2,0,4,4,-997
222,3,2,1,0,2,0,-997
223,3,2,1,3,7,5,0
224,7,2,2,0,3,3,-997
225,4,1,1,-5,-5,-5,-998
226,4,1,1,-5,-5,-5,1
227,7,2,2,2,4,2,0
228,8,1,2,1,4,3,1
229,5,3,2,2,1,1,1
230,1,3,1,0,0,0,-998
231,5,3,2,1,2,2,1
232,1,3,1,0,3,0,-997
233,1,3,1,1,2,2,1
234,2,3,1,-5,-5,-5,1
235,1,3,1,1,2,2,1
236,5,3,2,1,3,3,1
237,5,3,2,3,1,1,1
238,6,3,2,-5,-5,-5,-998
239,6,3,2,1,3,3,0
240,6,3,2,1,2,2,0
241,2,3,1,-5,-5,-5,-998
242,5,3,2,1,1,1,1
243,1,3,1,2,2,0,1
244,5,3,2,1,3,2,1
245,5,3,2,1,2,2,1
246,1,3,1,-5,-5,-5,1
247,2,3,1,1,2,2,1
248,2,3,1,3,2,0,0
249,6,3,2,1,3,3,1
250,5,3,2,1,2,2,1
251,2,3,1,-5,-5,-5,-998
252,6,3,2,1,2,2,0
253,1,3,1,0,0,0,-998
254,5,3,2,1,5,4,1
255,5,3,2,1,5,5,1
256,5,3,2,3,1,1,1
257,1,3,1,1,0,2,1
258,5,3,2,3,3,3,1
259,1,3,1,1,4,1,1
260,1,3,1,1,2,2,1
261,1,3,1,1,0,0,1
262,5,3,2,1,2,2,1
263,1,3,1,-5,-5,-5,1
264,5,3,2,0,0,0,-998
265,5,3,2,1,4,4,1
266,2,3,1,-5,-5,-5,-998
267,1,3,1,-5,-5,-5,-998
268,1,3,1,3,1,0,1
269,2,3,1,1,3,3,1
270,1,3,1,1,2,2,1
271,5,3,2,1,0,0,-998
272,5,3,2,1,4,4,1
273,1,3,1,1,2,3,1
274,2,3,1,1,5,3,0
275,6,3,2,1,2,2,1
276,5,3,2,1,0,0,-998
277,1,3,1,0,0,0,-998
278,5,3,2,1,3,3,1
279,1,3,1,1,0,0,-998
280,5,3,2,-5,-5,-5,-998
281,1,3,1,1,2,2,1
282,5,3,2,1,2,2,1
283,4,1,1,1,1,1,0
284,4,1,1,0,0,0,-998
285,8,1,2,1,3,3,0
286,8,1,2,0,0,0,-998
287,5,3,2,1,2,2,1
288,5,3,2,0,3,3,-997
289,5,3,2,0,2,2,-997
290,8,1,2,1,2,1,0
